task,use_memory,time_sec,path_len,blocked
在30分钟内巡检A→B→C，优先A，拥堵则绕行,0,4.2877,63,2
在30分钟内巡检A→B→C，优先A，拥堵则绕行,1,6.8552,64,3
在20分钟内巡检A->C->B，优先C,0,188.7976,80,2
在20分钟内巡检A->C->B，优先C,1,5.5654,67,1
先巡检A与B，如遇拥堵则改道并记录原因,0,6.4428,35,2
先巡检A与B，如遇拥堵则改道并记录原因,1,6.0295,34,1
在40分钟内优先巡检battery_zone与tools，08:00-09:00绕行corridor，若遇设备占用则改拍相邻点,0,3.4403,39,1
在40分钟内优先巡检battery_zone与tools，08:00-09:00绕行corridor，若遇设备占用则改拍相邻点,1,4.2802,40,2
在35分钟内先完成高优先级区域，再巡检storage，遇动态阻塞时重规划并记录原因,0,2.6541,33,1
在35分钟内先完成高优先级区域，再巡检storage，遇动态阻塞时重规划并记录原因,1,3.4802,34,2
